country,country_code,region,subregion,state,state_code,state_level,city,city_code,city_level,latitude,longitude,timezone
Vietnam,VNM,Southern,Mekong River Delta,Tiền Giang,,province,,,,,,
Vietnam,VNM,Southern,Mekong River Delta,Trà Vinh,,province,,,,,,
Vietnam,VNM,Southern,Mekong River Delta,Vĩnh Long,,province,,,,,,
Australia,AUS,,,New South Wales,NSW,state,Sydney,,,-33.87,151.21,10
Australia,AUS,,,Victoria,VIC,state,Melbourne,,,-37.81,144.96,10
Australia,AUS,,,Queensland,QLD,state,Brisbane,,,,,
Australia,AUS,,,Western Australia,WA,state,Perth,,,,,
Australia,AUS,,,South Australia,SA,state,Adelaide,,,,,
Australia,AUS,,,Tasmania,TAS,state,Hobart,,,,,
Australia,AUS,,,Australian Capital Territory,ACT,territory,Canberra,,,-35.28,149.13,10
Australia,AUS,,,Northern Territory,NT,territory,Darwin,,,,,
Canada,CAN,,,Ontario,ON,province,Toronto,,,43.7,-79.42,-4
Canada,CAN,,,Ontario,ON,province,Ottawa,,,45.41,-75.7,-4
Canada,CAN,,,Quebec,QC,province,Quebec City,,,,,
Canada,CAN,,,Quebec,QC,province,Montreal,,,45.51,-73.59,-4
Canada,CAN,,,Nova Scotia,NS,province,Halifax,,,,,
Canada,CAN,,,New Brunswick,NB,province,Fredericton,,,,,
Canada,CAN,,,New Brunswick,NB,province,Moncton,,,,,
Canada,CAN,,,Manitoba,MB,province,Winnipeg,,,,,
Canada,CAN,,,British Columbia,BC,province,Victoria,,,,,
Canada,CAN,,,British Columbia,BC,province,Vancouver,,,,,
Canada,CAN,,,Prince Edward Island,PE,province,Charlottetown,,,,,
Canada,CAN,,,Saskatchewan,SK,province,Regina,,,,,
Canada,CAN,,,Saskatchewan,SK,province,Saskatoon,,,,,
Canada,CAN,,,Alberta,AB,province,Edmonton,,,,,
Canada,CAN,,,Alberta,AB,province,Calgary,,,,,
Canada,CAN,,,Newfoundland and Labrador,NL,province,St. John's,,,,,
Germany,DEU,,,Baden-Württemberg,BW,state,Stuttgart,,,,,
Germany,DEU,,,Bavaria,BY,state,Munich,,,48.14,11.58,2
Germany,DEU,,,Berlin,BE,state,Berlin,,,52.52,13.41,2
Germany,DEU,,,Brandenburg,BB,state,Potsdam,,,,,
Germany,DEU,,,Bremen,HB,state,Bremen,,,,,
Germany,DEU,,,Hamburg,HH,state,Hamburg,,,,,
Germany,DEU,,,Hesse,HE,state,Wiesbaden,,,,,
Germany,DEU,,,Hesse,HE,state,Frankfurt am Main,,,50.12,8.68,2
Germany,DEU,,,Lower Saxony,NI,state,Hanover,,,,,
Germany,DEU,,,Mecklenburg-Vorpommern,MV,state,Schwerin,,,,,
Germany,DEU,,,North Rhine-Westphalia,NW,state,Düsseldorf,,,,,
Germany,DEU,,,Rhineland-Palatinate,RP,state,Mainz,,,,,
Germany,DEU,,,Saarland,SL,state,Saarbrücken,,,,,
Germany,DEU,,,Saxony,SN,state,Dresden,,,,,
Germany,DEU,,,Saxony-Anhalt,ST,state,Magdeburg,,,,,
Germany,DEU,,,Schleswig-Holstein,SH,state,Kiel,,,,,
Germany,DEU,,,Thuringia,TH,state,Erfurt,,,,,
